periodo;atrasomax6;Malo;NivelRiesgo;ClienteNuevo;ML_Score;VZ_score_3t;NS_scoret;SI_Scoret;Score_Alt;Nos_Fintech
202380;0;0;Muy Bajo;1;608;634;632;650;644;576
202313;0;0;Bajo;0;280;543;679;628;557;536
202252;0;1;Medio;0;399;340;683;654;528;428
202468;0;1;Alto;1;414;721;662;662;440;393
202495;0;0;Medio;0;332;593;352;420;658;408
202313;0;0;Bajo;1;646;646;640;507;573;460
202301;0;0;Medio;0;573;576;766;652;587;577
202313;65;1;Alto;0;521;585;527;670;602;432
202281;17;0;Bajo;0;744;729;357;662;699;541
202387;0;0;Medio;1;826;546;938;744;441;656
202313;0;0;Medio;0;562;583;969;696;512;625
202202;15;1;Alto;1;637;501;531;580;548;591
202330;0;0;Alto;1;601;689;501;655;619;699
202420;87;0;Medio;0;804;645;564;704;497;545
202254;60;1;Muy Alto;0;439;448;402;681;529;412
202424;0;0;Medio;0;495;428;610;467;597;444
202425;0;1;Alto;0;689;623;459;718;690;567
202326;0;0;Medio;0;715;461;643;940;593;343
202330;29;0;Muy Bajo;0;376;518;786;751;564;327
202253;8;0;Muy Bajo;1;776;375;423;638;405;471
202372;0;0;Medio;0;688;477;657;638;583;606
202418;6;0;Medio;0;490;493;574;611;714;648
202360;0;1;Muy Alto;0;728;581;565;683;512;451
202398;0;0;Alto;0;443;449;684;584;772;494
202447;0;0;Medio;0;535;649;835;398;492;562
202403;0;0;Medio;0;893;706;543;476;710;542
202384;0;0;Medio;0;748;568;448;679;545;475
202323;3;1;Medio;0;754;513;718;560;566;528
202455;0;0;Bajo;1;658;630;696;669;569;747
202494;1;0;Bajo;1;597;665;648;634;317;510
202480;69;0;Alto;0;697;579;265;773;468;501
202298;0;0;Medio;0;598;493;673;816;593;417
202398;0;0;Alto;1;725;574;347;720;597;431
202440;0;0;Muy Alto;1;646;423;607;563;515;693
202344;0;0;Muy Bajo;1;393;677;651;728;693;566
202297;142;1;Muy Alto;1;417;502;569;514;707;391
202401;0;1;Alto;0;384;430;522;422;579;450
202324;0;0;Muy Bajo;1;612;717;627;657;537;597
202387;0;0;Bajo;0;431;467;430;542;639;453
202459;19;0;Medio;1;617;633;529;850;565;506
202348;0;1;Muy Alto;0;660;513;781;647;397;478
202452;0;0;Muy Bajo;1;626;669;558;477;575;628
202347;0;1;Muy Alto;0;513;455;556;497;684;575
202348;0;0;Muy Bajo;1;634;640;632;969;674;393
202399;0;1;Muy Alto;1;508;497;179;550;507;351
202328;0;0;Medio;0;531;551;565;676;416;582
202239;0;0;Alto;0;576;630;623;430;668;456
202329;0;0;Medio;1;605;548;444;728;560;427
202467;0;0;Muy Bajo;0;455;494;631;754;462;442
202351;0;0;Medio;0;541;610;876;598;555;462
202498;0;0;Muy Bajo;1;557;591;762;666;638;531
202299;0;1;Alto;0;729;313;429;594;724;460
202463;0;0;Alto;0;491;563;623;630;630;506
202452;18;0;Medio;0;822;845;608;756;584;507
202344;41;1;Muy Alto;0;726;599;536;878;605;430
202312;87;1;Muy Alto;0;445;502;331;580;745;301
202260;7;0;Muy Bajo;1;625;380;553;699;490;235
202202;0;1;Muy Alto;0;640;568;282;691;511;552
202454;7;0;Bajo;0;559;690;644;608;622;423
202340;33;0;Bajo;0;610;704;676;571;608;539
202237;24;0;Bajo;1;874;477;430;601;651;414
202360;0;0;Medio;0;601;426;746;511;745;543
202209;1;1;Medio;0;508;548;741;794;863;341
202433;0;0;Medio;1;744;626;687;684;501;524
202299;7;0;Muy Alto;0;675;582;605;625;403;296
202347;13;0;Bajo;0;409;585;586;624;593;616
202408;23;0;Medio;0;636;705;582;775;613;791
202331;26;0;Bajo;0;686;444;442;697;575;604
202352;0;0;Muy Bajo;0;775;461;491;724;506;500
202254;57;1;Alto;0;680;481;569;596;501;427
202320;123;0;Alto;0;516;263;464;694;443;476
202361;115;1;Medio;0;544;566;488;562;524;501
202316;0;0;Bajo;0;578;612;570;762;636;538
202275;0;1;Alto;0;408;550;784;516;744;591
202313;0;0;Medio;0;339;547;573;515;524;473
202304;0;0;Medio;0;366;564;821;556;392;462
202454;0;1;Alto;0;710;567;494;519;773;575
202427;0;1;Muy Alto;0;814;641;389;504;411;529
202312;83;1;Medio;0;509;528;504;593;558;285
202299;0;1;Alto;0;476;623;639;564;650;395
202353;73;0;Bajo;1;407;446;553;697;560;522
202394;0;0;Bajo;0;642;719;405;605;633;512
202363;0;0;Bajo;0;484;442;759;559;564;366
202408;0;0;Bajo;1;478;768;635;684;553;430
202369;0;1;Alto;1;631;290;714;650;513;552
202361;51;1;Bajo;0;436;606;406;690;847;364
202268;0;0;Medio;0;468;557;452;498;638;586
202489;0;0;Bajo;0;390;435;619;568;719;478
202477;0;1;Medio;0;985;382;553;651;444;485
202335;52;0;Bajo;0;429;620;669;544;518;445
202395;0;1;Medio;0;466;308;327;679;594;484
202328;88;1;Muy Alto;0;797;319;645;523;605;646
202233;3;0;Bajo;0;406;439;585;685;426;428
202376;33;0;Medio;0;548;656;634;664;555;522
202222;0;1;Alto;0;453;403;638;684;541;502
202438;0;0;Bajo;0;673;613;218;657;730;365
202358;0;1;Medio;0;768;446;366;573;527;562
202238;0;1;Alto;0;614;587;794;678;564;657
202430;32;0;Muy Bajo;0;507;811;559;588;462;525
202251;0;1;Alto;0;457;762;625;381;678;346
202464;0;1;Alto;1;573;398;597;661;557;467
202483;0;0;Bajo;1;772;570;488;559;563;385
202227;57;0;Bajo;0;378;570;636;617;710;472
202426;29;0;Medio;0;601;491;596;352;522;864
202477;17;1;Alto;0;603;435;444;689;579;494
202486;0;1;Alto;0;571;688;848;659;503;422
202297;42;0;Medio;0;680;626;896;416;547;542
202484;0;0;Muy Alto;1;860;598;537;419;631;429
202347;0;0;Medio;0;671;491;501;687;768;476
202204;0;0;Bajo;0;631;681;486;631;407;642
202235;65;0;Muy Bajo;0;676;715;518;589;551;273
202392;0;1;Alto;0;620;676;724;517;714;523
202249;0;1;Bajo;0;707;664;342;634;603;530
202217;1;1;Alto;0;742;508;448;1000;854;540
202372;15;0;Alto;0;684;687;384;547;560;597
202420;0;1;Medio;0;708;477;533;689;590;696
202358;29;1;Muy Alto;1;205;632;662;637;645;567
202246;0;1;Alto;1;518;455;583;433;494;641
202206;0;0;Medio;0;477;821;600;751;656;520
202299;24;0;Bajo;1;498;541;700;656;852;427
202433;0;0;Medio;0;834;487;779;404;662;399
202237;47;1;Alto;0;372;380;462;469;290;397
202480;0;1;Muy Alto;0;293;619;624;574;545;373
202381;13;0;Alto;0;442;548;739;725;310;488
202295;97;1;Alto;0;370;532;547;585;399;614
202299;0;1;Medio;0;890;380;405;799;566;585
202388;0;0;Bajo;0;569;518;668;329;514;435
202316;27;1;Muy Alto;0;682;623;451;448;502;476
202391;0;0;Medio;1;497;409;411;569;408;443
202453;0;1;Muy Alto;0;736;319;524;665;555;588
202361;0;0;Bajo;0;669;533;365;682;468;524
202456;0;0;Muy Bajo;0;279;551;509;684;760;375
202328;0;1;Muy Alto;1;522;546;564;674;624;379
202218;109;0;Bajo;1;645;608;434;653;534;511
202481;1;0;Medio;1;396;554;380;453;651;665
202423;33;0;Medio;0;659;572;635;623;456;510
202254;54;0;Medio;0;585;574;547;574;544;652
202258;0;0;Muy Bajo;0;469;442;626;523;712;475
202374;69;1;Alto;0;535;560;509;741;822;380
202480;39;1;Muy Alto;0;538;758;802;640;255;632
202314;0;0;Bajo;0;439;533;619;419;353;493
202488;112;0;Medio;0;493;507;584;620;546;453
202351;0;0;Alto;1;563;476;614;541;480;493
202327;104;0;Bajo;0;559;629;428;608;677;438
202355;27;0;Muy Bajo;0;489;457;673;487;813;373
202473;0;1;Muy Alto;0;559;633;464;903;569;637
202304;0;0;Bajo;0;492;446;488;776;666;448
202499;0;0;Medio;0;665;416;479;834;658;416
202446;0;1;Muy Alto;0;514;573;593;586;393;668
202376;0;1;Alto;1;787;681;436;457;708;614
202239;60;0;Muy Bajo;0;739;568;574;524;524;561
202370;10;0;Alto;0;678;580;507;738;527;608
202447;24;0;Medio;0;655;354;523;841;587;559
202226;0;1;Alto;0;445;544;775;619;611;555
202213;0;0;Alto;0;716;617;643;674;543;598
202236;0;1;Medio;0;507;873;685;528;552;510
202373;0;0;Muy Bajo;0;754;154;493;674;581;497
202220;0;1;Medio;1;595;381;519;465;322;535
202464;0;0;Medio;0;625;389;417;455;519;504
202342;32;0;Bajo;0;297;576;699;840;649;556
202343;10;0;Medio;0;630;394;732;738;741;499
202292;0;0;Bajo;1;581;540;534;758;668;631
202488;26;1;Muy Alto;0;407;708;545;677;550;459
202415;0;1;Muy Alto;1;533;579;660;312;657;556
202251;0;1;Bajo;1;798;643;419;654;594;491
202353;86;0;Bajo;1;588;150;562;433;551;464
202386;0;0;Bajo;1;620;736;442;713;614;569
202263;0;0;Medio;0;583;376;685;744;598;562
202390;0;0;Alto;0;578;495;655;932;621;514
202325;0;1;Alto;0;1000;477;732;634;650;628
202350;0;1;Alto;0;718;583;818;454;548;354
202258;0;0;Medio;1;732;725;610;554;721;524
202380;26;1;Medio;0;711;571;517;663;681;322
202370;2;1;Muy Alto;1;537;581;653;479;633;734
202471;0;1;Alto;0;364;635;609;530;500;388
202254;53;0;Bajo;0;442;281;570;574;525;514
202301;67;0;Medio;0;559;547;307;588;592;470
202464;0;0;Medio;0;684;667;793;664;545;374
202253;0;0;Medio;0;632;528;796;642;438;620
202260;0;1;Muy Alto;0;577;605;601;694;628;488
202308;3;0;Muy Alto;0;869;691;599;264;477;621
202205;114;1;Alto;0;853;744;646;544;598;499
202303;140;0;Bajo;0;519;482;485;819;599;524
202396;0;0;Bajo;0;747;232;658;769;547;521
202462;0;1;Alto;0;402;688;770;618;546;481
202247;0;1;Alto;0;422;639;530;669;330;421
202344;0;0;Medio;1;624;561;576;523;595;486
202469;0;0;Bajo;0;744;270;344;585;569;266
202324;86;0;Medio;1;388;628;679;454;317;366
202306;0;0;Medio;0;471;586;812;729;612;460
202358;0;0;Bajo;0;897;549;594;850;709;437
202347;0;0;Muy Bajo;1;655;370;776;784;612;585
202345;65;1;Muy Alto;0;538;573;500;588;621;622
202320;150;0;Muy Bajo;0;482;410;507;552;680;523
202475;41;0;Medio;0;536;708;681;677;804;581
202292;0;1;Muy Alto;0;721;570;412;409;475;326
202258;0;0;Medio;0;640;581;705;760;602;596
202429;0;0;Medio;1;506;655;574;754;654;548
202317;15;1;Alto;0;608;612;762;631;686;599
202479;0;0;Alto;1;691;578;674;441;852;491
202327;166;1;Alto;1;693;583;575;703;483;402
202329;47;0;Medio;1;610;597;577;530;621;588
202258;0;0;Bajo;0;806;622;668;639;461;522
202322;0;0;Medio;0;633;587;540;627;505;316
202201;6;1;Bajo;0;621;550;395;384;547;348
202439;0;1;Medio;0;472;313;517;605;485;540
202490;0;1;Alto;0;610;520;650;640;351;624
202296;0;0;Medio;1;930;505;685;632;695;457
202326;57;0;Muy Alto;0;444;432;598;721;718;472
202318;83;0;Medio;0;596;486;586;511;444;496
202248;0;1;Muy Alto;1;701;623;278;728;508;581
202289;43;0;Bajo;1;695;678;658;741;591;584
202437;0;1;Medio;0;324;405;688;848;425;514
202472;0;1;Bajo;0;445;401;551;349;719;376
202389;0;0;Bajo;0;754;456;581;533;595;385
202392;168;1;Medio;0;492;529;616;471;563;476
202269;0;1;Alto;0;673;589;604;270;713;474
202478;0;1;Medio;1;753;583;228;635;532;508
202447;8;0;Bajo;0;365;355;632;660;625;405
202276;0;1;Muy Alto;0;351;619;692;556;763;596
202354;26;0;Bajo;0;631;612;501;581;557;589
202344;1;0;Bajo;1;636;520;545;566;674;511
202286;29;0;Alto;0;596;556;459;578;498;532
202385;0;0;Medio;0;573;392;544;748;668;520
202485;30;0;Alto;0;614;528;549;823;567;606
202420;0;1;Muy Bajo;0;625;517;427;453;651;661
202269;0;0;Alto;0;439;544;399;603;552;657
202247;56;0;Medio;0;510;546;420;633;692;510
202294;9;0;Medio;0;558;562;727;632;597;367
202438;0;0;Bajo;0;759;430;553;734;800;349
202404;0;0;Bajo;0;437;503;441;621;443;522
202418;0;0;Medio;1;802;235;611;779;578;296
202239;87;1;Muy Bajo;0;508;658;505;729;581;514
202300;49;0;Bajo;1;597;418;457;651;569;434
202489;0;1;Medio;0;721;481;709;691;749;609
202454;0;1;Muy Alto;0;690;390;510;440;657;405
202422;0;1;Muy Alto;1;579;475;811;552;560;548
202223;14;0;Medio;0;830;686;752;601;626;570
202450;0;1;Muy Alto;1;485;590;494;577;646;470
202210;0;0;Alto;0;623;551;563;698;676;424
202446;0;1;Alto;0;497;334;331;703;360;400
202300;44;0;Medio;0;617;765;538;462;575;378
202490;0;0;Bajo;1;822;682;654;596;674;405
202380;75;1;Muy Alto;1;437;542;487;838;614;396
202423;71;1;Alto;0;472;505;527;567;642;504
202450;11;1;Alto;1;711;574;725;642;486;717
202347;0;0;Alto;0;661;559;403;541;812;605
202296;5;0;Bajo;0;437;358;474;668;633;473
202457;0;0;Muy Bajo;0;653;330;526;593;492;612
202204;0;0;Medio;0;719;705;484;628;539;599
202216;17;0;Bajo;0;559;570;431;627;576;622
202480;31;0;Medio;1;772;442;752;699;411;541
202447;0;0;Alto;0;192;502;525;608;630;517
202458;0;0;Medio;0;445;411;790;672;713;594
202360;0;1;Muy Alto;0;569;563;604;698;771;578
202352;0;0;Muy Bajo;0;596;635;316;521;694;463
202378;0;0;Muy Bajo;0;665;723;706;332;673;635
202363;7;1;Alto;0;639;666;604;545;772;565
202233;16;0;Bajo;0;631;453;555;619;424;492
202379;106;0;Alto;0;509;484;485;465;525;491
202301;0;0;Medio;0;614;412;287;694;387;485
202468;0;1;Medio;1;800;468;659;624;566;395
202265;6;1;Bajo;1;806;451;551;559;402;494
202368;0;1;Muy Alto;0;398;585;558;674;535;519
202243;29;0;Medio;0;651;535;561;849;646;582
202244;0;0;Bajo;0;508;733;631;754;576;507
202485;0;1;Medio;0;523;756;622;712;932;504
202212;0;0;Medio;1;488;552;789;720;567;671
202295;0;1;Bajo;0;180;553;681;508;638;480
202453;0;0;Bajo;1;612;600;473;899;660;467
202442;6;0;Muy Bajo;0;413;495;657;746;570;439
202235;31;0;Muy Bajo;0;559;889;596;417;524;471
202415;0;1;Alto;0;460;604;502;406;365;577
202290;0;1;Muy Alto;0;695;538;619;449;317;480
202464;0;0;Bajo;1;295;558;586;535;508;291
202293;0;0;Bajo;1;410;469;488;697;482;258
202290;0;1;Muy Alto;1;637;516;674;532;907;453
202315;0;1;Alto;1;389;566;634;727;534;562
202305;0;0;Alto;0;605;513;566;245;517;551
202396;0;0;Medio;1;565;514;467;663;689;430
202314;157;0;Muy Bajo;1;798;469;434;636;692;628
202275;33;0;Alto;0;466;470;760;611;676;401
202417;29;1;Alto;0;599;435;821;573;395;605
202477;0;0;Alto;0;737;694;681;444;388;544
202449;0;0;Bajo;0;345;390;272;683;422;655
202364;0;1;Alto;0;698;480;844;526;590;608
202392;0;0;Muy Bajo;0;689;528;549;712;526;523
202427;53;0;Medio;0;454;704;564;704;374;521
202377;0;1;Alto;0;798;514;667;668;475;343
202299;143;1;Muy Alto;1;556;582;463;636;653;471
202236;0;1;Medio;1;408;579;627;570;336;422
202296;0;0;Bajo;0;506;582;623;475;572;408
202352;0;0;Medio;0;606;376;734;634;646;441
202351;65;0;Medio;0;897;624;463;860;820;123
202390;0;0;Medio;0;414;574;621;679;559;413
202424;0;0;Muy Bajo;0;732;779;653;569;734;383
202237;0;0;Bajo;0;580;508;704;561;541;559
202468;0;1;Bajo;0;760;308;651;678;703;731
202383;0;0;Bajo;0;514;503;602;534;741;357
202213;0;0;Medio;1;379;577;744;629;630;368
202479;0;0;Medio;0;601;452;448;533;459;307
202417;0;1;Muy Alto;0;651;616;679;672;288;355
202486;0;0;Medio;0;698;425;621;470;820;423
202473;0;1;Muy Alto;1;576;728;696;545;645;612
202262;0;0;Bajo;0;714;554;616;550;401;472
202284;0;1;Muy Alto;0;496;473;706;589;566;686
202417;0;1;Muy Alto;0;610;475;609;649;502;245
202387;0;0;Muy Alto;0;715;725;710;528;445;417
202219;0;0;Medio;0;726;466;648;883;402;668
202377;22;0;Medio;1;439;781;497;681;592;392
202300;7;0;Muy Bajo;0;691;570;553;679;528;315
202433;42;0;Medio;0;525;838;710;905;602;349
202276;3;0;Bajo;1;625;710;482;868;914;427
202465;0;0;Medio;1;494;687;680;630;668;455
202484;0;1;Alto;0;487;599;734;444;673;455
202406;14;0;Bajo;1;491;582;672;683;737;659
202423;29;0;Bajo;1;795;539;789;657;747;713
202252;0;0;Medio;0;724;487;574;690;849;486
202344;0;0;Muy Bajo;0;519;388;494;522;616;481
202269;37;0;Bajo;0;576;383;712;666;583;543
202299;0;1;Alto;1;658;379;737;582;749;392
202225;0;1;Muy Alto;1;610;774;788;704;584;525
202253;0;0;Medio;0;579;436;710;654;730;324
202351;0;1;Alto;0;662;448;695;700;587;590
202344;0;0;Medio;0;746;617;543;320;601;475
202257;24;0;Alto;0;779;517;733;584;639;410
202239;29;0;Muy Bajo;0;557;458;746;741;329;335
202309;0;1;Alto;0;512;441;570;730;363;356
202381;10;1;Bajo;1;359;702;592;593;735;536
202242;0;1;Alto;1;441;751;546;529;599;556
202386;89;1;Muy Alto;1;362;601;658;537;492;396
202423;0;0;Bajo;1;685;627;666;506;708;615
202322;19;0;Medio;1;808;492;680;396;660;555
202333;0;1;Bajo;0;718;616;729;670;491;451
202363;81;0;Bajo;0;535;363;341;596;598;317
202415;101;0;Bajo;1;441;515;547;656;576;552
202421;0;0;Bajo;0;587;531;398;558;584;600
202435;0;1;Medio;1;705;553;291;569;483;575
202346;0;1;Alto;0;408;719;377;859;634;456
202439;0;0;Medio;1;869;641;699;859;704;498
202276;57;0;Muy Bajo;0;442;532;626;733;444;420
202209;0;0;Bajo;0;303;655;579;562;617;628
202274;0;1;Medio;0;666;582;508;773;638;478
202453;0;0;Alto;1;560;603;449;401;819;393
202430;0;0;Bajo;0;638;600;614;819;588;406
202207;46;0;Alto;0;493;589;377;579;571;564
202374;0;0;Medio;0;660;481;494;376;583;488
202341;0;0;Bajo;0;606;486;670;694;481;361
202368;0;1;Muy Alto;0;586;461;572;802;507;427
202370;109;1;Medio;0;626;603;514;657;513;345
202483;0;0;Muy Bajo;1;838;597;526;630;491;641
202322;164;1;Medio;1;874;519;588;467;489;466
202394;58;0;Bajo;0;695;810;448;719;464;625
202205;5;0;Bajo;1;383;449;606;706;425;632
202229;77;1;Muy Alto;1;828;763;511;534;670;469
202365;0;1;Muy Alto;0;611;462;711;638;542;551
202336;77;0;Bajo;0;400;489;719;614;426;485
202345;0;0;Alto;1;661;685;671;591;466;555
202417;0;1;Alto;1;610;475;637;733;697;447
202332;0;0;Medio;0;449;519;793;279;634;439
202492;0;1;Medio;0;733;350;710;467;507;378
202270;0;0;Alto;0;494;604;708;862;604;376
202452;20;1;Muy Alto;0;347;493;882;814;723;673
202475;14;0;Bajo;0;756;731;652;524;626;455
202382;82;0;Bajo;1;697;769;624;496;507;644
202367;0;0;Muy Bajo;1;701;459;715;521;523;530
202291;0;0;Medio;1;517;575;811;864;612;491
202402;57;0;Medio;0;600;597;544;578;522;471
202219;65;0;Bajo;0;736;463;766;552;552;384
202239;0;1;Alto;0;552;558;445;484;521;597
202326;26;0;Bajo;0;563;601;509;623;317;464
202373;0;0;Alto;1;549;603;553;362;705;605
